iter	Passed	Remaining
0	102	306584
1	199	299224
2	269	269394
3	348	260711
4	424	254332
5	492	245865
6	569	243473
7	641	239963
8	710	236025
9	782	233869
10	856	232770
11	927	230934
12	999	229757
13	1079	230271
14	1164	231751
15	1250	233200
16	1332	233859
17	1415	234493
18	1500	235468
19	1574	234595
20	1656	234941
21	1733	234591
22	1810	234323
23	1885	233766
24	1962	233508
25	2032	232539
26	2126	234102
27	2210	234661
28	2291	234725
29	2383	235960
30	2473	236905
31	2558	237277
32	2636	237080
33	2716	237014
34	2793	236648
35	2878	236984
36	2957	236825
37	3035	236615
38	3114	236440
39	3191	236170
40	3262	235438
41	3344	235569
42	3421	235268
43	3499	235103
44	3577	234952
45	3651	234474
46	3726	234107
47	3807	234179
48	3883	233901
49	3960	233641
50	4034	233308
51	4107	232842
52	4176	232205
53	4253	232072
54	4339	232384
55	4442	233526
56	4527	233738
57	4618	234282
58	4708	234685
59	4783	234413
60	4861	234231
61	4939	234079
62	5013	233706
63	5083	233188
64	5158	232929
65	5247	233279
66	5323	233035
67	5403	232994
68	5480	232812
69	5554	232496
70	5631	232329
71	5713	232347
72	5788	232111
73	5860	231726
74	5940	231662
75	6019	231602
76	6092	231280
77	6164	230913
78	6241	230770
79	6316	230543
80	6396	230502
81	6484	230759
82	6568	230830
83	6660	231210
84	6752	231582
85	6841	231817
86	6943	232497
87	7042	233049
88	7133	233314
89	7231	233807
90	7303	233465
91	7382	233362
92	7461	233216
93	7542	233178
94	7623	233110
95	7698	232875
96	7771	232598
97	7842	232233
98	7923	232170
99	8017	232495
100	8089	232199
101	8161	231872
102	8246	231936
103	8321	231734
104	8402	231679
105	8487	231735
106	8564	231567
107	8653	231723
108	8730	231547
109	8813	231551
110	8903	231741
111	8996	231977
112	9093	232326
113	9202	232956
114	9297	233255
115	9380	233225
116	9472	233422
117	9556	233398
118	9641	233431
119	9735	233642
120	9818	233605
121	9902	233592
122	9994	233775
123	10072	233621
124	10165	233796
125	10245	233696
126	10333	233770
127	10417	233733
128	10512	233972
129	10598	233990
130	10694	234209
131	10808	234831
132	10911	235210
133	10997	235215
134	11080	235162
135	11172	235286
136	11248	235062
137	11328	234938
138	11413	234912
139	11501	234960
140	11584	234894
141	11668	234848
142	11757	234911
143	11848	234990
144	11933	234973
145	12021	234987
146	12112	235084
147	12197	235041
148	12290	235166
149	12370	235032
150	12446	234832
151	12521	234616
152	12593	234342
153	12679	234316
154	12750	234025
155	12827	233856
156	12902	233650
157	12975	233400
158	13062	233404
159	13135	233149
160	13209	232930
161	13286	232753
162	13368	232678
163	13442	232458
164	13521	232321
165	13603	232248
166	13676	232014
167	13755	231884
168	13837	231805
169	13916	231668
170	13995	231533
171	14077	231454
172	14155	231310
173	14243	231338
174	14330	231337
175	14416	231311
176	14498	231239
177	14582	231183
178	14679	231340
179	14765	231329
180	14844	231191
181	14928	231141
182	15016	231161
183	15097	231061
184	15185	231073
185	15289	231316
186	15386	231453
187	15488	231661
188	15578	231703
189	15678	231880
190	15766	231869
191	15856	231897
192	15936	231781
193	16029	231851
194	16117	231843
195	16197	231719
196	16288	231761
197	16370	231674
198	16453	231585
199	16544	231628
200	16626	231534
201	16721	231612
202	16813	231656
203	16893	231543
204	16980	231521
205	17071	231543
206	17164	231600
207	17258	231661
208	17354	231748
209	17443	231748
210	17524	231640
211	17612	231615
212	17708	231711
213	17801	231750
214	17891	231754
215	17980	231747
216	18074	231800
217	18173	231917
218	18267	231969
219	18356	231963
220	18447	231969
221	18543	232043
222	18652	232276
223	18744	232297
224	18839	232353
225	18928	232336
226	19015	232294
227	19106	232288
228	19186	232169
229	19280	232208
230	19370	232197
231	19456	232136
232	19547	232132
233	19640	232159
234	19732	232169
235	19823	232171
236	19911	232136
237	19999	232091
238	20110	232325
239	20202	232326
240	20295	232343
241	20383	232309
242	20466	232211
243	20573	232383
244	20669	232428
245	20759	232409
246	20848	232367
247	20943	232409
248	21038	232442
249	21133	232472
250	21231	232531
251	21332	232627
252	21431	232695
253	21518	232634
254	21623	232774
255	21707	232682
256	21796	232636
257	21889	232642
258	21982	232642
259	22065	232535
260	22168	232645
261	22272	232758
262	22362	232727
263	22459	232766
264	22562	232859
265	22656	232871
266	22746	232831
267	22852	232954
268	22945	232954
269	23039	232956
270	23132	232944
271	23222	232903
272	23316	232905
273	23401	232823
274	23505	232916
275	23601	232939
276	23695	232935
277	23795	232989
278	23885	232952
279	23974	232898
280	24075	232956
281	24179	233047
282	24286	233163
283	24380	233161
284	24470	233110
285	24564	233107
286	24649	233012
287	24741	232986
288	24838	233004
289	24926	232934
290	25020	232923
291	25121	232978
292	25206	232884
293	25290	232771
294	25391	232827
295	25473	232700
296	25557	232600
297	25651	232587
298	25742	232541
299	25834	232509
300	25933	232538
301	26017	232438
302	26114	232442
303	26211	232453
304	26306	232447
305	26388	232319
306	26487	232349
307	26585	232367
308	26674	232301
309	26770	232296
310	26859	232237
311	26948	232175
312	27040	232131
313	27121	232000
314	27202	231866
315	27300	231883
316	27378	231724
317	27457	231575
318	27545	231503
319	27632	231425
320	27721	231357
321	27803	231237
322	27891	231162
323	27981	231110
324	28070	231043
325	28150	230903
326	28234	230800
327	28319	230702
328	28403	230594
329	28490	230516
330	28586	230503
331	28672	230418
332	28761	230353
333	28857	230341
334	28938	230210
335	29028	230151
336	29116	230078
337	29200	229975
338	29303	230015
339	29392	229954
340	29480	229882
341	29571	229825
342	29666	229806
343	29748	229683
344	29840	229645
345	29937	229634
346	30031	229606
